Price,Location,Beds,Baths,Size,Units,Phone,Image_URL,Home_URL
$630/mo,"Boulevard Apartments | 4740 Baum Blvd, Pittsburgh, PA 15213",0 beds,1 bath,330,2 units available,(412) 815-1458,https://ssl.cdn-redfin.com/photo/rent/f586d799-1f90-4fff-ab4e-a43ee95e6fec/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Boulevard-Apartments/apartment/180762260
$850+/mo,"Alvern Gardens | 1000 Vermont Ave, Pittsburgh, PA 15234",1-2 bed,1 bath,563-728,5 units available,(412) 912-8775,https://ssl.cdn-redfin.com/photo/rent/773e4ad4-1615-4917-b7d8-6477325e423f/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Alvern-Gardens/apartment/185569612
$700+/mo,"143 Oak Manor Pl, Penn Hills, PA 15235",1-3 bed,1-1.5 bath,—,9 units available,(412) 871-9068,https://ssl.cdn-redfin.com/photo/rent/8e47346d-2c08-4b78-9b34-56a756deb09b/islphoto/genIsl.0_6.jpg,https://www.redfin.com/PA/Penn-Hills/143-Oak-Manor-Pl-15235/apartment/177399849
$650+/mo,"JJ Land Company | 5738 Baum Blvd, Pittsburgh, PA 15206",0-3 beds,1-2 bath,396,5 units available,(412) 714-2085,https://ssl.cdn-redfin.com/photo/rent/6c57d4e3-0486-4635-a981-b0eed007f4f0/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/JJ-Land-Company/apartment/177387063
$780+/mo,"Laurel Gardens | 1645 Ardmore Blvd, Pittsburgh, PA 15221",1-2 bed,1 bath,—,3 units available,(412) 815-1564,https://ssl.cdn-redfin.com/photo/rent/a27a1b98-3bdb-479a-a6c3-a6555bc31238/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/Laurel-Gardens/apartment/74577276
$650+/mo,"Garden Villa Apartments | 3304 Brownsville Rd, Pittsburgh, PA 15227",0 beds,1 bath,—,1 unit available,(412) 815-1206,https://ssl.cdn-redfin.com/photo/rent/e739ba5b-083f-4dec-bdf8-d491e5cc2d92/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/3304-Brownsville-Rd-15227/home/74489242
$825+/mo,"Hillcrest Apartments | Union Ave, Pittsburgh, PA 15202",1-2 bed,1 bath,—,2 units available,(412) 944-2766,https://ssl.cdn-redfin.com/photo/rent/b5973afc-68f2-41dd-b4ef-e0889acc7917/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Union-Ave-15202/home/163526352
$595+/mo,"Brentshire Gardens | 3045 Pyramid Ave, Pittsburgh, PA 15227",0-1 beds,1 bath,400-615,4 units available,(412) 871-9079,https://ssl.cdn-redfin.com/photo/rent/d334b9bb-6d33-4ead-8fa7-75ec12daeede/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Brentshire-Gardens/apartment/74488543
"$1,099+/mo","Squirrel Hill Apartments | 5620 Hobart St, Pittsburgh, PA 15217",1-3 bed,1-1.5 bath,"565-1,760",6 units available,(724) 492-8972,https://ssl.cdn-redfin.com/photo/rent/ebb7c83c-2363-43e8-a6e4-3ffe116e0e6d/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/Squirrel-Hill-Apartments/apartment/74754415
"$1,020+/mo","Ambassador Apartments | 4733 Centre Ave, Pittsburgh, PA 15213",0-1 beds,1 bath,521-687,5 units available,(412) 709-5769,https://ssl.cdn-redfin.com/photo/rent/14898268-d76b-46b8-8f4b-83d6086a6d1c/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/Ambassador-Apartments/apartment/74661984
"$2,295/mo","148 44th St, Pittsburgh, PA 15201",2 beds,1 bath,"1,814",A/C,(844) 831-2831,https://ssl.cdn-redfin.com/photo/rent/00cea271-decc-455b-8245-7c5307e34cf7/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/148-44th-St-15201/home/74735393
"$2,900/mo","423 Walnut Ct, Pittsburgh, PA 15237",3 beds,3 baths,"2,550",Pets welcome,(866) 516-1797,https://ssl.cdn-redfin.com/photo/rent/1f638156-d392-468c-9c4f-f87a1b9787a5/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/423-Walnut-Ct-15237/home/171273606
$925/mo,"4502 Stanton Ave, Pittsburgh, PA 15201",1 bed,1 bath,900,Laundry hookups,(866) 891-1264,https://ssl.cdn-redfin.com/photo/rent/e8c25866-ed45-4925-a22d-1b4b317a74ca/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/4502-Stanton-Ave-15201/home/74737324
"$1,195/mo","1162 N Wheeler Dr, Pittsburgh, PA 15208",3 beds,1 bath,"1,064",Car-dependent,(844) 257-8622,https://ssl.cdn-redfin.com/photo/rent/4c7008e6-2efe-4f61-b871-fa75582358f1/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1162-N-Wheeler-Dr-15208/home/74514650
$700/mo,"2648 Robinson Blvd, Penn Hills, PA 15235",0 beds,1 bath,350,Cats welcome,(888) 996-4922,https://ssl.cdn-redfin.com/photo/rent/99ff62a2-69e4-44fb-93da-f65dcf7cb221/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Penn-Hills/2648-Robinson-Blvd-15235/apartment/192457355
$900/mo,"2750 Robinson Blvd, Penn Hills, PA 15235",2 beds,1 bath,650,Cats welcome,(866) 557-0104,https://ssl.cdn-redfin.com/photo/rent/1925042b-096e-40d5-a225-b853f4a2fe4e/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Penn-Hills/2750-Robinson-Blvd-15235/apartment/192457405
"$1,288+/mo","Kaufmanns | 434 5th Ave, Pittsburgh, PA 15219",0-2 beds,1-2 bath,458-983,Pets welcome,(412) 899-6678,https://ssl.cdn-redfin.com/photo/rent/0e3db80d-a454-4158-9199-8f7c9f2fb1be/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/434-5th-Ave-15219/home/177355614
"$1,570/mo","Normandy Apartments | 5520 Fifth Ave, Pittsburgh, PA 15232",2 beds,1 bath,710,Dishwasher,(878) 213-4352,https://ssl.cdn-redfin.com/photo/rent/6418b409-b8a0-44cd-8326-f5c0537c542e/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/Normandy-Apartments/apartment/189832330
"$1,020+/mo","(SCH) - Southcrest Heights Apartments | 631 Southcrest Dr, Pittsburgh, PA 15226",2-3 beds,1 bath,775-950,Dishwasher,(412) 500-0267,https://ssl.cdn-redfin.com/photo/rent/c01d18ac-b9bb-45f4-8193-b4c96f1889fe/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/SCH-Southcrest-Heights-Apartments/apartment/189829311
$975/mo,"101 Mount Lebanon Blvd, Pittsburgh, PA 15228",2 beds,1 bath,765,Somewhat walkable,(412) 871-4958,https://ssl.cdn-redfin.com/photo/rent/f7cb2a94-74be-4ec0-92af-379e0121e641/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/101-Mount-Lebanon-Blvd-15228/apartment/74529823
"$1,695/mo","5635 Hobart St, Pittsburgh, PA 15217",2 beds,1 bath,750,N/A,(412) 752-6023,https://ssl.cdn-redfin.com/photo/rent/fd777c1b-1522-43b2-b2d1-4f850bb5a02f/islphoto/genIsl.0_9.jpg,https://www.redfin.com/PA/Pittsburgh/5635-Hobart-St-15217/apartment/189827678
"$1,850+/mo","JKMO Realty | 1823 Penn Ave, Pittsburgh, PA 15221",2-3 beds,1-2 bath,"720-1,100",Dishwasher,(412) 806-1576,https://ssl.cdn-redfin.com/photo/rent/9a6a8266-d8a5-4b98-8cd5-28994fad871d/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/JKMO-Realty/apartment/186567700
"$1,125/mo","42 Wyoming St, Pittsburgh, PA 15211",1 bed,1 bath,705,Pets welcome,(878) 978-0097,https://ssl.cdn-redfin.com/photo/rent/99c10aa6-b825-48ac-8132-ad03e7942ca7/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/42-Wyoming-St-15211/apartment/192518771
$920/mo,"(Larose) Southcrest Heights Apartments | 631 Southcrest Dr Unit 1, Pittsburgh, PA 15226",1 bed,1 bath,660,Dishwasher,(412) 899-1626,https://ssl.cdn-redfin.com/photo/rent/698fc63b-0445-4ac4-a8ee-7dd8ec4eadaa/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Larose-Southcrest-Heights-Apartments/apartment/179829590
"$1,250+/mo","Smallman Flats | 2916 Smallman St, Pittsburgh, PA 15201",0-1 beds,1 bath,380-700,Dishwasher,(878) 978-5953,https://ssl.cdn-redfin.com/photo/rent/ca93c9fd-9d87-4d75-aaf7-57480745a28d/islphoto/genIsl.0_5.jpg,https://www.redfin.com/PA/Pittsburgh/Smallman-Flats/apartment/177391345
$995/mo,"3618 Baytree St, Pittsburgh, PA 15214",2 beds,1 bath,—,Car-dependent,(412) 525-7074,https://ssl.cdn-redfin.com/photo/rent/c82df9ca-aa31-48aa-8150-b1d7dd9a7bad/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/3618-Baytree-St-15214/apartment/177358946
"$2,200/mo","5th Avenue School Lofts | 1800 5th Ave, Pittsburgh, PA 15219",2 beds,2.5 baths,"1,816",Pets welcome,(412) 806-1552,https://ssl.cdn-redfin.com/photo/rent/af1bbd99-9bef-4f68-92a5-48fdb9b32a31/islphoto/genIsl.0_12.jpg,https://www.redfin.com/PA/Pittsburgh/1800-5th-Ave-15219/home/74775091
"$1,425+/mo","The Venue Apartments! | 625 Stanwix St, Pittsburgh, PA 15222",1-2 bed,1 bath,580-975,Pets welcome,(412) 806-1631,https://ssl.cdn-redfin.com/photo/rent/e754384b-1ddd-4c4e-9d9b-02d694bf3142/islphoto/genIsl.0_3.jpg,https://www.redfin.com/PA/Pittsburgh/625-Stanwix-St-15222/home/141273863
"$1,195/mo","Hobart & Wightman Apartments | 2041 Wightman St, Pittsburgh, PA 15217",1 bed,1 bath,701,Very walkable,(412) 319-0494,https://ssl.cdn-redfin.com/photo/rent/5bd37f2c-bcb7-458f-a9cc-c23f752a9fbc/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/2041-Wightman-St-15217/home/74754424
$825/mo,"1144 Tennessee Ave, Pittsburgh, PA 15216",1 bed,1 bath,375,Dishwasher,(724) 260-1518,https://ssl.cdn-redfin.com/photo/rent/2280732a-ba09-4ed4-9d1f-8ebe36b31596/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1144-Tennessee-Ave-15216/apartment/74768814
"$1,495/mo","529 Lucia Dr, Pittsburgh, PA 15221",4 beds,1.5 baths,"1,202",Pets welcome,(888) 527-1897,https://ssl.cdn-redfin.com/photo/rent/f61e5547-26b7-4d6b-8371-06856d508cb2/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/529-Lucia-Dr-15221/home/74606122
"$1,895/mo","132 High Oak Pl, Pittsburgh, PA 15220",3 beds,2 baths,"1,224",Pets welcome,(877) 659-0198,https://ssl.cdn-redfin.com/photo/rent/cae0ed83-4acc-4337-ba72-2b66ac05a402/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/132-High-Oak-Pl-15220/home/74604825
$850/mo,"246 W Steuben St Unit 2, Pittsburgh, PA 15205",1 bed,1 bath,900,N/A,(866) 346-3597,https://ssl.cdn-redfin.com/photo/rent/68144ac9-198d-490b-9d86-3b46108a75d8/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/246-W-Steuben-St-15205/unit-2/apartment/182953440
"$2,800/mo","405 Plaza Dr, Pittsburgh, PA 15236",3 beds,2.5 baths,"2,100",Pets welcome,(855) 701-0398,https://ssl.cdn-redfin.com/photo/rent/7ad9f195-9b14-4765-b68e-4088b1113c3b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/405-Plaza-Dr-15236/home/174715703
"$2,800/mo","507 Plaza Dr, Pittsburgh, PA 15236",3 beds,2.5 baths,"2,100",Pets welcome,(412) 334-0536,https://ssl.cdn-redfin.com/photo/rent/140b1ce9-c98e-4787-b4b1-bcef8a416b58/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/507-Plaza-Dr-15236/home/174715717
"$2,650/mo","Plaza Dr, Pittsburgh, PA 15236",3 beds,2.5 baths,"1,800",Pets welcome,(412) 334-0536,https://ssl.cdn-redfin.com/photo/rent/a0d97f35-dd6e-4f39-ac6d-a1808141d403/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/Plaza-Dr-15236/home/163781508
"$1,750/mo","536 Burton Dr, Pittsburgh, PA 15235",3 beds,2 baths,"1,218",Pets welcome,(877) 408-8372,https://ssl.cdn-redfin.com/photo/rent/368e2d32-caab-437b-b251-42662ff411f6/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/536-Burton-Dr-15235/home/74637191
"$2,750/mo","708 Plaza Dr, Pittsburgh, PA 15236",3 beds,2.5 baths,"1,800",Pets welcome,(412) 334-0536,https://ssl.cdn-redfin.com/photo/rent/ecb27161-bedc-4556-9d3a-dfdcd4cdcca7/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/708-Plaza-Dr-15236/home/174715728
"$1,144+/mo","Bedford Hill Apartments | 2524 Bedford, Pittsburgh, PA 15219",2-3 beds,1 bath,"809-1,297",Pets welcome,(412) 784-6668,https://ssl.cdn-redfin.com/photo/rent/067a1766-ac94-4091-a539-28e9de32007d/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/2524-Bedford-15219/home/147581864
"$1,365/mo","1922 Sarah St, Pittsburgh, PA 15203",2 beds,2 baths,"1,624",Pets welcome,(412) 569-8073,https://ssl.cdn-redfin.com/photo/rent/f78e2a6d-d0dc-4258-8ce5-4bfe8748cdfe/islphoto/genIsl.0_9.jpg,https://www.redfin.com/PA/Pittsburgh/1922-Sarah-St-15203/home/74478837
"$1,900/mo","1917 Mary St, Pittsburgh, PA 15203",3 beds,2 baths,—,Laundry in unit,(412) 431-1718,https://ssl.cdn-redfin.com/photo/rent/7beb2e1c-58de-4286-8f13-603bd3390e1c/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1917-Mary-St-15203/home/74478820
"$1,399/mo","615 Danbury St, Pittsburgh, PA 15214",2 beds,1.5 baths,"1,000",Laundry in unit,(412) 407-2305,https://ssl.cdn-redfin.com/photo/rent/e6f67a74-3fff-4d47-b39c-c1bb77e84af5/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/615-Danbury-St-15214/home/73553046
$995/mo,"1913 Larkins Way, Pittsburgh, PA 15203",1 bed,1 bath,900,Walker's paradise,(412) 945-0301,https://ssl.cdn-redfin.com/photo/rent/db75f834-2637-47ba-8e01-50e2af82064a/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1913-Larkins-Way-15203/home/74478786
"$1,425/mo","131 S 17th St, Pittsburgh, PA 15203",1 bed,1 bath,"2,192",Pets welcome,(724) 933-6300,https://ssl.cdn-redfin.com/photo/rent/47a3472a-2bde-4927-a28c-4a5e2351f115/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/131-S-17th-St-15203/home/74478628
"$1,400/mo","324 Moore Ave, Pittsburgh, PA 15210",2 beds,1.5 baths,"1,701",Somewhat walkable,(512) 320-0888,https://ssl.cdn-redfin.com/photo/rent/1fd44fb4-ea3a-4ce8-83bb-b6d52d77a533/islphoto/genIsl.4_3.jpg,https://www.redfin.com/PA/Pittsburgh/324-Moore-Ave-15210/home/73550111
"$2,400/mo","6926 Bishop St, Pittsburgh, PA 15206",2 beds,2 baths,"1,240",Laundry in unit,(412) 367-8000,https://ssl.cdn-redfin.com/photo/rent/28ba571b-85bb-4f5e-a80f-7bcd4e6bd453/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/6926-Bishop-St-15206/home/73517613
"$2,300/mo","1910 Fox Way, Pittsburgh, PA 15203",3 beds,2 baths,"1,200",A/C,(412) 631-3100,https://ssl.cdn-redfin.com/photo/rent/8d602e22-dbf1-474d-94e7-9eeeac25b482/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1910-Fox-Way-15203/home/74478560
"$2,826/mo","66 S 17th St, Pittsburgh, PA 15203",4 beds,2 baths,—,Dishwasher,(412) 904-1083,https://ssl.cdn-redfin.com/photo/rent/e6c5324f-e779-4683-baba-23c31f70495d/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/66-S-17th-St-15203/home/74478208
"$1,525/mo","3180 McRoberts Rd, Pittsburgh, PA 15234",3 beds,1.5 baths,"1,351",Laundry in unit,(724) 733-7100,https://ssl.cdn-redfin.com/photo/rent/6ef84545-9e49-4ca2-8b14-23225721eb92/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/3180-McRoberts-Rd-15234/home/73546269
"$2,400/mo","52 S 18th St, Pittsburgh, PA 15203",3 beds,1.5 baths,"1,850",Laundry in unit,(724) 317-7890,https://ssl.cdn-redfin.com/photo/rent/5c71c216-6060-49c6-81e0-069f294a3a4a/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/52-S-18th-St-15203/home/74478136
"$2,350/mo","1655 Beechwood Blvd, Pittsburgh, PA 15217",4 beds,2 baths,"2,027",Pets welcome,(412) 521-2222,https://ssl.cdn-redfin.com/photo/rent/cc0105df-f051-4c80-a5e9-fcd3f0f5852b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1655-Beechwood-Blvd-15217/home/74477190
"$2,275/mo","106 Oesterle Ln, Pittsburgh, PA 15214",3 beds,2 baths,"1,781",Pets welcome,(888) 659-9596,https://ssl.cdn-redfin.com/photo/rent/724a0087-4e47-405d-8997-33e04468faa9/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/106-Oesterle-Ln-15214/home/73544542
"$1,100/mo","1816 Perrott Ave, Pittsburgh, PA 15212",2 beds,1 bath,"1,000",Somewhat walkable,(412) 407-2305,https://ssl.cdn-redfin.com/photo/rent/9ed90c2d-0867-46e4-ad6e-c26ee826b7ba/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1816-Perrott-Ave-15212/home/73517111
$895/mo,"1235 Woodland Ave, Pittsburgh, PA 15212",2 beds,1 bath,—,Somewhat walkable,(412) 520-8090,https://ssl.cdn-redfin.com/photo/rent/6e1b1599-481a-442c-b6d3-a7108fdd5d5d/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1235-Woodland-Ave-15212/home/73505015
"$2,600/mo","6632 Wilkins Ave, Pittsburgh, PA 15217",4 beds,2 baths,"1,680",Laundry in unit,(724) 934-3400,https://ssl.cdn-redfin.com/photo/rent/9d5690bb-9ad5-4be1-8eda-f71512ef9e5d/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/6632-Wilkins-Ave-15217/home/74476242
"$3,000/mo","151 Meadow St, East Liberty, PA 15206",3 beds,3 baths,"1,658",Laundry in unit,(412) 521-2222,https://ssl.cdn-redfin.com/photo/rent/e40eedca-de30-4d73-953b-db5d94ba145a/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/East-Liberty/151-Meadow-St-15206/home/74474345
"$2,500/mo","144 Ruth St, Pittsburgh, PA 15211",5 beds,2 baths,"1,895",Pets welcome,(412) 440-8939,https://ssl.cdn-redfin.com/photo/rent/1e58144b-f936-4863-8976-153febcf87e8/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/144-Ruth-St-15211/home/73544047
"$2,500/mo","149 Meadow St, East Liberty, PA 15206",3 beds,3 baths,—,Very walkable,(412) 431-1718,https://ssl.cdn-redfin.com/photo/rent/641715bc-5d5e-439c-9b81-f2b2a41c01b6/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/East-Liberty/149-Meadow-St-15206/home/74474343
"$1,450/mo","140 Carver St, Pittsburgh, PA 15206",3 beds,1 bath,—,Dishwasher,(412) 361-8290,https://ssl.cdn-redfin.com/photo/rent/f12eb56c-a193-42b5-9870-0bc1687399e9/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/140-Carver-St-15206/home/74474262
"$1,595/mo","40 Sharon St, Pittsburgh, PA 15210",3 beds,1 bath,"1,320",Pets welcome,(888) 659-9596,https://ssl.cdn-redfin.com/photo/rent/80371490-c2e9-45a7-b8c0-ceee5d35ec87/islphoto/genIsl.0_6.jpg,https://www.redfin.com/PA/Pittsburgh/40-Sharon-St-15210/home/73543450
"$1,125/mo","778 Locust Ridge Dr, Pittsburgh, PA 15209",2 beds,1 bath,—,A/C,(412) 821-3355,https://ssl.cdn-redfin.com/photo/rent/6999bb9d-5127-42a5-9a3d-129f85039f1b/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/778-Locust-Ridge-Dr-15209/home/73516964
"$1,495/mo","6615 Jackson St, Pittsburgh, PA 15206",3 beds,1 bath,"1,200",Car-dependent,(724) 744-1777,https://ssl.cdn-redfin.com/photo/rent/1ae72240-feef-444a-8460-3e62d3d5e1b8/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/6615-Jackson-St-15206/home/74472580
"$2,350/mo","1019 Winterton St, Pittsburgh, PA 15206",3 beds,2.5 baths,—,Somewhat walkable,(412) 567-8345,https://ssl.cdn-redfin.com/photo/rent/cd4096c6-1c98-44e1-897d-46b4cdf5e110/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1019-Winterton-St-15206/home/74472512
"$1,495/mo","2111 Spring St, Pittsburgh, PA 15210",3 beds,2 baths,"1,500",Dogs welcome,(724) 884-6076,https://ssl.cdn-redfin.com/photo/rent/710e8164-9f9c-4d79-8ecc-570963c26e33/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/2111-Spring-St-15210/home/73543265
"$1,475/mo","115 Emerson Ave, Pittsburgh, PA 15215",2 beds,1 bath,—,Very walkable,(412) 609-5063,https://ssl.cdn-redfin.com/photo/rent/7b3360b6-a9f9-4a61-885f-1336fb7361ce/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/115-Emerson-Ave-15215/apartment/74471535
"$2,450/mo","4606 Allied Way, Pittsburgh, PA 15201",2 beds,2 baths,960,Pets welcome,(412) 487-3200,https://ssl.cdn-redfin.com/photo/rent/cf5e0c2e-5f15-4f83-8575-42847cbe4e20/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/4606-Allied-Way-15201/home/74467145
"$3,150/mo","525 S Lang Ave, Pittsburgh, PA 15208",4 beds,1.5 baths,"1,820",Pets welcome,(412) 307-7394,https://ssl.cdn-redfin.com/photo/rent/dca452ea-4513-40cf-9075-9ea9491ad2e0/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/525-S-Lang-Ave-15208/home/73541903
"$2,950/mo","151 Fort Pitt Blvd #1106, Pittsburgh, PA 15222",2 beds,1.5 baths,"1,434",Laundry in unit,(412) 561-7400,https://ssl.cdn-redfin.com/photo/rent/f62ea938-4d81-46c2-87d2-7042fe589363/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/151-Fort-Pitt-Blvd-15222/unit-1106/home/73515112
"$2,750/mo","1107 Sarah St, Pittsburgh, PA 15203",3 beds,2 baths,—,Parking,(412) 264-8300,https://ssl.cdn-redfin.com/photo/rent/51ccb32a-83ba-4cd5-a1e0-c3eca230cae0/islphoto/genIsl.0_4.jpg,https://www.redfin.com/PA/Pittsburgh/1107-Sarah-St-15203/home/73504125
"$1,950/mo","71 Woody Crest Dr, Pittsburgh, PA 15234",3 beds,3 baths,"1,600",Pets welcome,(415) 529-0048,https://ssl.cdn-redfin.com/photo/rent/afbb98dd-fa8a-45ca-a521-977d9aa70d55/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/71-Woody-Crest-Dr-15234/home/73497873
"$3,600/mo","2519 Allequippa St, Pittsburgh, PA 15213",5 beds,2 baths,—,A/C,(412) 567-3945,https://ssl.cdn-redfin.com/photo/rent/c271a8f4-d6de-4a4f-ba35-4abf8d23b493/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/2519-Allequippa-St-15213/home/74465968
"$1,175/mo","108 Locust Ridge Dr, Pittsburgh, PA 15209",2 beds,1 bath,—,A/C,(412) 821-3355,https://ssl.cdn-redfin.com/photo/rent/4d1110b2-58f2-434b-8a2e-d3df8f3a26f3/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/108-Locust-Ridge-Dr-15209/home/74465362
"$1,800/mo","5422 Keystone St, Pittsburgh, PA 15201",2 beds,1 bath,"1,229",Somewhat walkable,(724) 505-2673,https://ssl.cdn-redfin.com/photo/rent/dbaa2e12-0c3b-4ee7-8516-1f7e9639d5fa/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/5422-Keystone-St-15201/home/73541135
"$2,000/mo","27 Bonvue St, Pittsburgh, PA 15214",4 beds,2 baths,"1,707",A/C,(412) 330-9755,https://ssl.cdn-redfin.com/photo/rent/b8c9e939-b19e-4a18-ae4b-86869debefd2/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/27-Bonvue-St-15214/home/74463116
"$1,425/mo","4016 Vinceton St, Pittsburgh, PA 15214",3 beds,1 bath,"1,800",Laundry in unit,(412) 339-0216,https://ssl.cdn-redfin.com/photo/rent/50777ff1-807e-4d1d-a0f4-163482812f5f/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/4016-Vinceton-St-15214/home/74462791
"$1,250/mo","1707 Locust St, Pittsburgh, PA 15219",2 beds,1 bath,—,Pets welcome,(412) 262-4630,https://ssl.cdn-redfin.com/photo/rent/a675223c-236d-4af2-a6ec-ce639efc1ff8/islphoto/genIsl.0_2.jpg,https://www.redfin.com/PA/Pittsburgh/1707-Locust-St-15219/home/73541001
"$1,910/mo","1432 Park Blvd, Pittsburgh, PA 15216",3 beds,1 bath,"1,243",Pets welcome,(888) 659-9596,https://ssl.cdn-redfin.com/photo/rent/ef006966-b2f7-45bd-a99b-9f1e2a7a0636/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1432-Park-Blvd-15216/home/73511303
"$1,575/mo","1229 Benton Ave, Pittsburgh, PA 15212",5 beds,2 baths,"2,100",Somewhat walkable,(914) 432-9962,https://ssl.cdn-redfin.com/photo/rent/db9b8977-385d-447b-b56f-bd05b29d959a/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/1229-Benton-Ave-15212/home/74462650
"$1,425/mo","2917 Homehurst Ave, Pittsburgh, PA 15234",3 beds,2 baths,—,A/C,(412) 531-1500,https://ssl.cdn-redfin.com/photo/rent/67444853-d05a-4c65-a8d9-c5a0b5650e51/islphoto/genIsl.0_1.jpg,https://www.redfin.com/PA/Pittsburgh/2917-Homehurst-Ave-15234/home/74528272
